customer_id,trans_date,tran_amount
CS5812,11-02-2014,62
CS4636,09-22-2013,66
CS3147,06-04-2014,84
CS1273,02-01-2012,91
CS4243,11-11-2011,48
CS2357,04-13-2012,71
CS1776,05-03-2014,79
CS5643,03-02-2013,104
CS4522,03-06-2015,82
CS2418,02-01-2015,51
CS1330,11-21-2014,41
CS1195,12-29-2014,83
CS4306,03-07-2015,54
CS2137,09-29-2013,73
CS3518,06-19-2013,54
CS5835,09-18-2011,52
CS4701,01-15-2015,95
CS4548,06-28-2012,38
CS2384,10-15-2012,35
CS4081,02-17-2013,74
CS5976,01-02-2012,99
CS3874,09-08-2011,44
CS5356,06-17-2014,105
CS4667,09-17-2014,66
CS4328,06-04-2012,56
CS3291,08-02-2013,42
CS4282,09-11-2011,44
CS4331,09-25-2011,70
CS1243,03-17-2013,36
CS2390,05-20-2014,104
CS2207,04-05-2014,71
CS1270,11-18-2011,104
CS1219,11-11-2014,91
CS5427,11-13-2012,96
CS5474,05-18-2011,69
CS5109,05-23-2012,92
CS5287,03-14-2015,94
CS3477,05-05-2013,80
CS3970,12-13-2011,86
CS5760,12-08-2011,59
CS2149,04-04-2013,83
CS4934,07-19-2014,80
CS1517,10-18-2013,89
CS1641,12-29-2012,64
CS2187,11-19-2011,70
CS5359,08-12-2014,96
CS3124,12-08-2011,71
CS1721,08-30-2012,96
CS5212,01-22-2015,42
CS5111,08-23-2011,81
CS3137,04-04-2012,67
CS1511,01-25-2015,69
CS2509,02-23-2014,92
CS5994,01-11-2014,42
CS2613,08-25-2013,103
CS1934,08-18-2014,89
CS3127,10-02-2011,39
CS5225,03-18-2014,104
CS1815,11-17-2012,83
CS3552,04-27-2014,102
CS1893,11-17-2013,42
CS3621,10-26-2013,56
CS4330,07-17-2013,59
CS4991,07-20-2013,90
CS2312,10-22-2013,37
CS2359,06-04-2012,90
CS4798,12-06-2012,84
CS2507,06-28-2012,94
CS1430,09-02-2014,71
CS3787,10-23-2013,48
CS4103,04-14-2013,89
CS2881,09-24-2012,54
CS1854,09-29-2011,74
CS2863,12-23-2012,102
CS5292,09-04-2013,64
CS3184,01-07-2012,88
CS2049,10-07-2013,66
CS2832,07-16-2013,105
CS2251,04-12-2013,99
CS5667,02-25-2014,66
CS1327,02-19-2012,38
CS4927,08-12-2013,37
CS2302,09-09-2012,100
CS3901,09-11-2012,82
CS5762,04-21-2013,85
CS2289,03-13-2012,89
CS2867,02-09-2012,56
CS2359,08-10-2014,87
CS5814,12-12-2011,72
CS5129,06-21-2011,102
CS2597,06-03-2012,42
CS5838,09-01-2012,96
CS5800,04-23-2012,86
CS3786,07-16-2013,66
CS3659,05-19-2012,77
CS4400,09-03-2011,97
CS3026,06-03-2012,55
CS3632,02-10-2013,72
CS1452,03-23-2012,79
CS5140,07-11-2014,97
CS5383,12-29-2013,73
CS4695,09-17-2013,48
CS2368,08-10-2012,66
CS2066,07-15-2011,51
CS5277,07-12-2011,90
CS3025,12-30-2011,72
CS4802,06-25-2011,45
CS6001,02-16-2014,63
CS3981,09-20-2014,74
CS3885,04-29-2014,56
CS5546,08-28-2012,79
CS4964,05-20-2014,79
CS4881,01-21-2014,55
CS4103,03-02-2014,40
CS5884,12-19-2012,97
CS2765,04-18-2013,88
CS4438,07-05-2014,72
CS2234,12-21-2014,36
CS3015,01-30-2014,58
CS3755,01-01-2015,45
CS3927,03-25-2014,77
CS5799,11-08-2012,101
CS5708,06-03-2011,89
CS3695,04-20-2013,51
CS1969,10-23-2014,39
CS3854,11-09-2014,104
CS3416,02-23-2015,57
CS1414,12-01-2013,104
CS4732,03-27-2013,96
CS2493,12-29-2012,85
CS5851,01-19-2013,98
CS1678,05-09-2014,48
CS2049,03-19-2013,36
CS3676,09-27-2011,43
CS4853,03-27-2012,68
CS4292,03-04-2014,98
CS3152,12-15-2014,40
CS5640,01-13-2014,77
CS5857,09-26-2012,85
CS1472,04-12-2014,72
CS3888,02-22-2012,70
CS5563,06-23-2013,70
CS5104,09-17-2012,99
CS6109,11-01-2013,92
CS2352,10-06-2014,62
CS4024,02-01-2014,39
CS1499,12-24-2011,91
CS3071,09-15-2012,39
CS5638,12-16-2014,58
CS5533,05-16-2013,73
CS1961,03-29-2012,75
CS1707,09-15-2011,105
CS3692,09-17-2014,48
CS1275,12-28-2011,102
CS4738,03-20-2013,37
CS3732,06-12-2011,83
CS5676,12-16-2013,44
CS4111,07-26-2012,54
CS2074,01-05-2015,79
CS5815,01-03-2015,92
CS5094,03-07-2015,84
CS5431,01-05-2013,55
CS4540,08-13-2014,55
CS1891,03-25-2013,84
CS4389,03-22-2013,70
CS4412,01-07-2012,47
CS1697,07-13-2014,98
CS2720,04-11-2012,72
CS1152,08-04-2012,71
CS3796,09-14-2013,37
CS6066,08-23-2013,66
CS2643,07-20-2014,69
CS6056,03-22-2014,104
CS3489,01-09-2013,76
CS5229,11-23-2011,58
CS4649,12-16-2014,93
CS4372,08-27-2014,71
CS1790,10-04-2012,100
CS1475,08-20-2012,73
CS2452,04-05-2014,77
CS2781,06-02-2011,51
CS5260,09-25-2014,89
CS5155,12-25-2011,100
CS1582,05-24-2014,46
CS4757,08-19-2011,81
CS6039,10-05-2013,104
CS1580,11-18-2012,87
CS3815,07-05-2011,54
CS6063,04-13-2013,104
CS2226,10-29-2014,104
CS5367,01-08-2015,77
CS4581,06-04-2013,95
CS5004,12-21-2014,59
CS2164,08-06-2013,35
CS4590,05-31-2014,79
CS4600,10-03-2011,50
CS2122,02-20-2012,90
CS3060,08-24-2012,59
CS2217,04-19-2013,85
CS4288,04-21-2014,68
CS1568,05-10-2013,104
CS3442,09-16-2014,39
CS4883,12-24-2013,39
CS4911,02-17-2012,75
CS1533,07-25-2012,86
CS3103,05-07-2014,59
CS2185,01-29-2012,46
CS4094,07-24-2013,100
CS4354,12-29-2012,62
CS1939,07-25-2012,46
CS5516,12-04-2012,75
CS5664,11-02-2013,95
CS5068,11-07-2014,41
CS4376,10-13-2014,49
CS5825,10-22-2011,61
CS1871,01-16-2012,64
CS5046,02-06-2015,86
CS1259,06-30-2013,64
CS5664,09-11-2011,58
CS2986,07-20-2011,67
CS5510,09-02-2013,99
CS2845,01-10-2013,73
CS4077,07-22-2012,90
CS3466,11-04-2013,71
CS1508,10-25-2013,101
CS2469,07-19-2014,93
CS2767,01-03-2015,105
CS5790,03-17-2012,58
CS1710,06-10-2013,100
CS2554,10-05-2011,100
CS5283,02-05-2015,63
CS4050,08-30-2014,63
CS5975,09-08-2012,77
CS4227,10-16-2012,74
CS5983,05-20-2011,47
CS2490,12-04-2013,70
CS1696,12-25-2012,51
CS3209,02-25-2014,82
CS2942,01-08-2013,62
CS4981,10-16-2011,93
CS1397,03-26-2014,77
CS1903,04-15-2013,92
CS3754,11-30-2013,77
CS4763,12-12-2011,78
CS4413,01-17-2015,38
CS2333,08-13-2011,99
CS2798,05-30-2012,100
CS5033,12-13-2011,96
CS1420,09-09-2014,99
CS5132,09-14-2011,74
CS3058,09-03-2012,74
CS3692,09-22-2013,42
CS2463,09-29-2012,55
CS5209,11-11-2011,35
CS4581,11-16-2013,53
CS3424,12-02-2013,85
CS3207,06-27-2013,86
CS5763,01-23-2013,56
CS5772,01-18-2012,97
CS3673,04-29-2013,85
CS2887,03-02-2012,100
CS1596,08-28-2011,66
CS4299,06-17-2012,37
CS1492,02-06-2014,82
CS2313,04-10-2014,40
CS5385,04-25-2014,83
CS3441,11-03-2013,43
CS4701,07-26-2014,53
CS1746,06-21-2013,103
CS3276,07-27-2013,65
CS2555,05-20-2012,50
CS2569,04-29-2014,37
CS3426,05-01-2014,67
CS3052,11-17-2013,67
CS1993,08-08-2013,68
CS4908,09-27-2014,78
CS3021,02-10-2014,43
CS4424,05-16-2013,82
CS4841,05-23-2013,74
CS3486,11-19-2012,75
CS2218,10-11-2011,78
CS4779,04-29-2012,53
CS4226,04-19-2013,100
CS1653,08-30-2011,53
CS2533,03-30-2012,99
CS2905,07-29-2012,47
CS5169,01-25-2013,64
CS5142,11-25-2012,64
CS4390,07-02-2014,43
CS5668,02-27-2014,91
CS2896,01-14-2013,71
CS5156,10-02-2013,58
CS4200,08-12-2012,67
CS4391,09-07-2014,67
CS5408,07-22-2013,78
CS6019,10-25-2013,84
CS3981,07-25-2012,40
CS5925,06-20-2013,66
CS3964,11-14-2013,105
CS4688,05-20-2013,101
CS1343,06-02-2012,57
CS6024,10-14-2012,45
CS2816,12-18-2011,84
CS2434,05-20-2012,41
CS6018,05-18-2012,96
CS2072,07-07-2012,63
CS2897,12-03-2013,83
CS1680,10-14-2013,81
CS1638,08-05-2013,84
CS1165,04-12-2012,101
CS4593,01-04-2012,84
CS3414,11-13-2011,46
CS2252,02-28-2013,58
CS3598,07-30-2013,54
CS3642,05-19-2014,62
CS5948,07-10-2014,71
CS5582,05-23-2014,96
CS6107,07-23-2011,70
CS5201,07-02-2011,79
CS1639,05-05-2013,51
CS5884,11-20-2012,52
CS3515,07-07-2014,81
CS2332,08-29-2013,66
CS5628,12-16-2014,94
CS4830,04-13-2012,78
CS1673,01-04-2012,92
CS4993,06-01-2011,86
CS2603,07-01-2013,58
CS1800,11-20-2013,72
CS3911,06-09-2012,83
CS5465,12-05-2011,77
CS2373,03-29-2012,105
CS1241,03-06-2013,104
CS4244,02-15-2013,48
CS5233,06-05-2013,73
CS5405,12-04-2013,87
CS4115,11-30-2011,73
CS4283,12-23-2011,76
CS4420,05-28-2014,93
CS4779,05-08-2013,41
CS2567,07-15-2011,93
CS3629,09-30-2014,68
CS2026,08-25-2013,66
CS4338,07-05-2013,58
CS4142,05-20-2012,100
CS2837,11-10-2012,88
CS1625,11-05-2013,104
CS4873,11-20-2012,83
CS3376,08-28-2012,39
CS4311,02-27-2012,35
CS1396,09-25-2012,86
CS3779,01-29-2014,92
CS1997,10-09-2012,87
CS4540,05-17-2012,72
CS5299,12-22-2012,90
CS2253,11-21-2012,99
CS6066,03-17-2014,102
CS6077,11-22-2012,44
CS3300,12-28-2014,86
CS5922,03-31-2012,95
CS6009,03-13-2014,39
CS5064,02-19-2013,97
CS2399,04-21-2014,77
CS5547,09-27-2012,73
CS5114,09-23-2012,96
CS3908,11-10-2011,83
CS4194,04-24-2013,92
CS5342,10-15-2012,82
CS5425,08-04-2012,90
CS1991,09-29-2014,94
CS2693,08-27-2013,61
CS5076,01-31-2015,63
CS3177,06-08-2011,87
CS2809,06-02-2012,60
CS3864,12-06-2013,56
CS2515,12-11-2011,51
CS4487,08-25-2011,100
CS3108,08-20-2011,87
CS1133,07-28-2014,91
CS5919,03-04-2012,97
CS6067,09-04-2012,44
CS4893,10-24-2013,66
CS5750,03-25-2014,48
CS1445,11-13-2011,88
CS1710,10-26-2011,52
CS1927,12-23-2013,97
CS5719,07-10-2011,40
CS2591,01-29-2014,69
CS2416,02-13-2013,59
CS1347,02-10-2013,74
CS3073,02-13-2015,95
CS3590,10-23-2013,104
CS4099,05-29-2014,67
CS4109,08-21-2012,40
CS6072,12-20-2011,82
CS3266,11-17-2012,51
CS1433,12-22-2014,72
CS5499,06-23-2011,59
CS1533,07-20-2012,85
CS5405,04-21-2012,91
CS4971,05-28-2013,83
CS5461,02-06-2012,47
CS6088,01-27-2013,82
CS1984,09-04-2012,53
CS1184,01-05-2013,102
CS4346,12-09-2012,65
CS5245,10-29-2014,104
CS5402,11-03-2011,84
CS2765,08-29-2011,61
CS5785,06-20-2013,63
CS5767,05-29-2013,82
CS2753,06-17-2012,63
CS2252,09-04-2012,68
CS5488,06-28-2012,53
CS5354,09-23-2014,83
CS1470,02-11-2012,95
CS1155,10-16-2011,75
CS5565,06-04-2014,36
CS6073,02-07-2015,104
CS2817,06-11-2014,43
CS3210,10-29-2011,57
CS4688,10-16-2012,59
CS4663,02-24-2013,95
CS4539,07-28-2012,35
CS2580,07-09-2012,42
CS3983,10-15-2012,103
CS2771,07-02-2012,67
CS3635,02-03-2015,38
CS1415,01-21-2012,73
CS2294,03-04-2015,94
CS1405,09-18-2013,43
CS1582,01-16-2014,85
CS2886,11-09-2013,38
CS2770,11-07-2014,80
CS1140,12-28-2014,61
CS2333,01-25-2014,93
CS4752,04-20-2013,95
CS5687,07-26-2011,89
CS4895,01-11-2014,80
CS2786,11-28-2011,66
CS1927,05-24-2012,63
CS4327,09-26-2014,36
CS1624,03-30-2013,68
CS5490,08-19-2014,36
CS4395,02-26-2012,66
CS3174,01-25-2013,61
CS2011,06-06-2013,85
CS5553,01-07-2015,98
CS3775,02-23-2012,92
CS2885,11-08-2012,55
CS1206,08-11-2014,90
CS4480,05-23-2012,60
CS1488,02-12-2015,65
CS1456,02-08-2013,95
CS4681,02-03-2014,96
CS3170,10-16-2012,85
CS1906,05-18-2014,60
CS5774,02-28-2015,78
CS6063,09-29-2011,77
CS2223,01-17-2014,41
CS1848,09-27-2011,48
CS2366,04-08-2014,39
CS5335,01-13-2014,45
CS2899,10-12-2012,55
CS4219,12-06-2013,59
CS5690,01-19-2015,82
CS3410,09-06-2014,97
CS1337,07-24-2014,103
CS4954,11-02-2012,82
CS4400,08-23-2011,67
CS3652,02-07-2015,64
CS5677,02-28-2013,93
CS4992,10-21-2012,83
CS3569,08-17-2014,61
CS2442,04-30-2014,59
CS4160,05-15-2012,66
CS5996,11-18-2011,69
CS2345,06-14-2011,60
CS2246,08-10-2011,44
CS2928,07-16-2013,67
CS1740,09-28-2014,102
CS2298,09-12-2011,105
CS5283,12-01-2012,63
CS6084,08-15-2013,64
CS3237,01-22-2013,40
CS4913,07-22-2014,53
CS2104,10-25-2014,81
CS4645,12-02-2013,104
CS1128,04-23-2014,105
CS4639,07-27-2012,39
CS4310,09-13-2011,83
CS3182,01-18-2013,48
CS3347,07-23-2012,38
CS4231,02-23-2015,89
CS4171,10-31-2014,53
CS3137,08-03-2013,92
CS1249,05-23-2012,55
CS3455,10-03-2011,98
CS1235,05-30-2012,56
CS4454,08-27-2013,57
CS3180,03-09-2014,65
CS2930,01-16-2014,94
CS3838,03-23-2012,82
CS1883,10-12-2014,57
CS5148,11-19-2012,72
CS4952,11-21-2011,54
CS5724,11-04-2011,85
CS1447,03-19-2012,104
CS1693,01-28-2012,59
CS4341,03-17-2014,87
CS3598,08-08-2012,72
CS5659,08-02-2012,100
CS5367,12-01-2014,41
CS1501,02-27-2013,65
CS2134,07-15-2014,77
CS3407,09-17-2014,62
CS3343,04-03-2014,56
CS3506,03-12-2013,103
CS2244,05-05-2013,86
CS1243,12-04-2012,70
CS3061,12-02-2013,89
CS4884,02-10-2015,78
CS1590,04-09-2014,39
CS3176,07-28-2014,50
CS5638,11-12-2014,68
CS2122,10-21-2012,83
CS2177,01-30-2015,93
CS3074,05-27-2011,61
CS3433,12-20-2012,99
CS3418,03-02-2013,87
CS5821,06-23-2012,70
CS2231,01-08-2015,74
CS5356,04-01-2014,91
CS5803,11-28-2014,96
CS5611,12-29-2014,65
CS5012,12-31-2011,85
CS4967,04-07-2013,98
CS2522,10-06-2014,85
CS2328,02-20-2015,43
CS3530,05-13-2013,88
CS5034,06-01-2014,39
CS5784,11-21-2011,75
CS3581,08-17-2011,93
CS3011,12-14-2014,83
CS4152,02-12-2013,41
CS5757,02-08-2014,56
CS5557,01-23-2012,82
CS3988,04-17-2012,51
CS3396,12-25-2011,87
CS4393,02-10-2015,54
CS4629,12-21-2012,35
CS3821,07-03-2013,73
CS3460,09-19-2011,77
CS4948,02-18-2013,84
CS3786,10-17-2011,71
CS5468,06-08-2012,50
CS1545,09-16-2014,55
CS4960,02-16-2014,77
CS3555,08-05-2013,103
CS4587,10-31-2012,104
CS1228,09-27-2011,57
CS5126,12-22-2012,49
CS1453,03-23-2014,45
CS5938,11-20-2012,61
CS3135,07-31-2012,49
CS4444,03-29-2013,102
CS5348,12-06-2014,64
CS1416,11-27-2012,100
CS5400,05-07-2014,75
CS2313,12-23-2012,59
CS5187,01-28-2012,42
CS3426,04-02-2013,87
CS2309,05-31-2011,60
CS4564,03-29-2013,94
CS3291,12-30-2012,93
CS2607,02-19-2013,50
CS1882,09-23-2014,104
CS2248,08-17-2011,100
CS4082,02-15-2015,49
CS3181,04-27-2014,62
CS2462,02-25-2012,88
CS2336,09-22-2013,86
CS3235,07-02-2012,43
CS2748,01-11-2012,55
CS3668,08-25-2012,86
CS1296,01-14-2014,61
CS5356,10-12-2012,57
CS4079,08-21-2012,68
CS4864,01-06-2014,73
CS2860,05-24-2013,74
CS4851,04-23-2013,94
CS5761,01-28-2015,102
CS6082,03-02-2012,48
CS3702,05-22-2011,45
CS1512,04-01-2013,54
CS4569,07-03-2014,76
CS2419,07-06-2014,95
CS3942,05-21-2013,64
CS4604,04-07-2012,38
CS6056,02-21-2013,98
CS2592,09-08-2013,73
CS5152,03-30-2014,53
CS4282,06-13-2011,46
CS4509,08-21-2012,93
CS2252,09-23-2014,95
CS3367,08-27-2013,98
CS4980,01-25-2012,64
CS3128,09-03-2011,91
CS3331,06-30-2013,99
CS4166,12-31-2012,104
CS5063,06-20-2012,56
CS5971,01-15-2014,94
CS5060,10-02-2013,38
CS5810,04-30-2013,48
CS2860,08-01-2011,78
CS4490,09-12-2014,37
CS5976,07-22-2012,47
CS4775,07-30-2012,86
CS4174,11-20-2012,51
CS5211,01-13-2015,85
CS3450,10-26-2012,80
CS3945,11-17-2012,80
CS2524,04-12-2012,55
CS3379,10-07-2014,101
CS4349,02-05-2012,87
CS2776,11-01-2012,70
CS1839,11-13-2013,77
CS1322,11-25-2013,84
CS3593,05-25-2012,81
CS1981,05-21-2011,71
CS4054,08-16-2011,99
CS4533,01-21-2015,53
CS2896,12-29-2011,80
CS5616,10-12-2013,37
CS3791,07-03-2014,49
CS1951,05-29-2011,73
CS2473,06-16-2013,81
CS5894,08-17-2013,68
CS1633,12-19-2012,62
CS1977,07-01-2013,38
CS6011,02-21-2014,55
CS6044,10-17-2013,36
CS4951,10-30-2013,90
CS2798,08-02-2011,69
CS2197,09-21-2012,70
CS3011,02-03-2014,65
CS1654,12-16-2014,85
CS2424,12-05-2013,101
CS3530,04-20-2014,40
CS1803,07-18-2013,80
CS4627,06-22-2014,50
CS5154,08-05-2012,78
CS3368,12-04-2012,38
CS2435,12-19-2013,86
CS4353,02-07-2015,75
CS5305,03-14-2012,86
CS3539,06-01-2013,64
CS2087,11-29-2012,52
CS5569,08-07-2011,56
CS5038,11-15-2014,75
CS4895,01-21-2013,43
CS2873,12-26-2011,87
CS5184,02-09-2013,51
CS1930,04-19-2013,76
CS4267,05-20-2012,38
CS5109,08-01-2014,91
CS5778,11-25-2012,65
CS3400,03-02-2012,97
CS2578,09-11-2013,47
CS3374,10-25-2011,49
CS1492,09-11-2011,101
CS4121,01-21-2013,50
CS5623,03-01-2015,100
CS5118,02-26-2012,65
CS3838,08-21-2014,42
CS3713,10-01-2013,50
CS3104,06-12-2011,51
CS4964,04-30-2012,86
CS5534,07-20-2014,40
CS4723,01-01-2014,88
CS3353,12-04-2014,94
CS3789,02-13-2014,102
CS4141,02-04-2014,88
CS1626,12-23-2012,38
CS2653,04-07-2012,81
CS5227,01-13-2014,49
CS4299,06-12-2013,36
CS4675,11-02-2011,85
CS1474,05-29-2012,37
CS4892,05-23-2012,60
CS3864,08-03-2014,78
CS4259,02-05-2012,55
CS4674,12-19-2014,75
CS4904,06-15-2014,60
CS1663,03-15-2012,53
CS4527,12-12-2012,99
CS3886,04-10-2012,85
CS6090,09-26-2012,93
CS5633,07-21-2011,54
CS1971,03-09-2013,39
CS2411,09-26-2013,71
CS2168,01-29-2015,65
CS5716,03-19-2012,100
CS3069,12-15-2011,62
CS4123,10-16-2012,60
CS4310,09-29-2014,61
CS1522,04-21-2013,90
CS6085,09-24-2013,65
CS1425,01-04-2015,83
CS1398,08-02-2014,56
CS3410,07-19-2011,69
CS5930,04-15-2014,35
CS3658,05-28-2012,37
CS1743,04-12-2014,73
CS5345,10-07-2014,84
CS4853,02-12-2014,45
CS4654,04-30-2014,83
CS4355,09-30-2014,77
CS1609,02-02-2012,45
CS3857,11-08-2013,53
CS4790,12-24-2013,103
CS3261,07-31-2012,72
CS5896,09-28-2012,78
CS4499,10-19-2012,46
CS2305,06-10-2011,71
CS4363,10-09-2014,102
CS5777,07-29-2011,97
CS4557,09-29-2012,93
CS5019,11-06-2012,67
CS4285,01-27-2015,38
CS5264,02-13-2013,79
CS3960,05-26-2012,48
CS2263,01-05-2013,96
CS2721,09-21-2013,88
CS3317,02-15-2014,41
CS4849,10-03-2011,73
CS2745,06-21-2012,84
CS3373,11-03-2012,88
CS2287,03-21-2013,59
CS5050,03-03-2015,38
CS3925,11-02-2011,35
CS2528,04-16-2013,102
CS2006,07-12-2011,100
CS1257,03-11-2013,89
CS5855,02-26-2015,63
CS3411,02-28-2015,48
CS5566,11-20-2011,79
CS5050,11-02-2013,97
CS3076,05-23-2014,69
CS2898,07-14-2012,62
CS4839,12-29-2011,57
CS5208,02-14-2015,49
CS2148,08-20-2013,97
CS1306,01-21-2012,72
CS4343,01-31-2012,59
CS2699,11-23-2013,64
CS6005,02-16-2013,52
CS2540,08-28-2014,87
CS2934,04-11-2013,77
CS1791,06-04-2014,78
CS5217,06-15-2012,42
CS2329,02-11-2014,67
CS4724,10-29-2012,97
CS1909,08-26-2012,39
CS3421,06-08-2012,41
CS6025,02-20-2014,77
CS4665,12-27-2013,68
CS3708,11-19-2013,77
CS3359,03-13-2013,39
CS5382,10-29-2011,46
CS4703,05-25-2011,53
CS1433,12-20-2014,99
CS3001,06-19-2011,100
CS4924,08-03-2014,56
CS4136,01-07-2014,79
CS4224,05-12-2013,80
CS1332,07-12-2012,59
CS2962,10-25-2014,71
CS1839,02-06-2014,52
CS6025,09-08-2011,88
CS1903,11-23-2012,91
CS3080,03-27-2013,65
CS2967,12-19-2012,97
CS4084,02-11-2015,53
CS3758,04-02-2014,55
CS2376,05-21-2014,58
CS6101,06-25-2011,71
CS4282,09-28-2013,58
CS3595,02-17-2013,81
CS5043,03-22-2014,85
CS3785,05-02-2012,95
CS5370,10-03-2014,61
CS2269,09-24-2014,53
CS2979,09-29-2011,98
CS3678,09-05-2012,78
CS2927,12-31-2012,84
CS4491,03-09-2014,57
CS1844,11-25-2011,97
CS3683,09-14-2013,38
CS5057,12-04-2013,90
CS2384,08-03-2013,69
CS3655,04-29-2012,91
CS3810,08-21-2013,71
CS5241,10-26-2012,83
CS3890,12-22-2011,47
CS3155,11-06-2012,68
CS3160,09-15-2011,78
CS4573,08-03-2012,37
CS1558,01-25-2012,86
CS2243,01-28-2012,92
CS2209,10-09-2012,67
CS5182,07-28-2012,86
CS6085,09-12-2014,87
CS4462,07-08-2012,70
CS2989,07-15-2012,58
CS1683,08-22-2013,82
CS4418,07-23-2012,79
CS3404,09-21-2014,84
CS3052,12-31-2011,92
CS2618,08-10-2014,90
CS5489,01-22-2012,104
CS1396,03-15-2013,53
CS2904,10-19-2012,46
CS3281,09-07-2013,53
CS4026,12-27-2014,91
CS3249,08-09-2012,35
CS2591,05-17-2012,83
CS5420,05-15-2014,43
CS5721,03-27-2013,97
CS5065,01-02-2014,79
CS1826,04-15-2013,95
CS4578,09-05-2013,98
CS1948,03-05-2013,94
CS3930,06-09-2013,41
CS6096,10-31-2011,103
CS3157,03-20-2012,100
CS2232,01-20-2013,97
CS2502,03-04-2014,91
CS1862,07-16-2014,60
CS4054,06-12-2013,80
CS5791,06-27-2012,36
CS5484,11-04-2012,54
CS1938,07-04-2013,53
CS4203,11-20-2012,79
CS5514,08-18-2012,70
CS1549,05-05-2012,88
CS4587,05-19-2013,46
CS1194,03-24-2014,52
CS2787,10-29-2011,45
CS1583,09-16-2013,84
CS2615,04-29-2013,98
CS3163,06-14-2012,40
CS3250,11-21-2011,72
CS2119,12-09-2014,104
CS5983,09-03-2014,38
CS5531,05-17-2011,58
CS1820,10-17-2013,94
CS5131,04-06-2013,91
CS2512,06-07-2014,88
CS2531,03-08-2014,46
CS5620,06-08-2013,55
CS2913,02-13-2012,55
CS4239,02-17-2012,77
